material,trial_id,items_used
Apple,398,11
Apple,399,8
Apple,400,11
Apple,401,14
Apple,402,12
Apple,403,9
Apple,404,8
Apple,405,8
Apple,406,11
Apple,407,9
Apple,408,10
Apple,409,12
Apple,410,9
Apple,411,11
Apple,412,13
Apple,413,7
Apple,414,15
Apple,415,11
Apple,416,12
Apple,417,11
Apple,418,14
Apple,419,8
Apple,420,8
Apple,421,18
Apple,422,8
Apple,423,9
Apple,424,10
Apple,425,14
Apple,426,9
Apple,427,13
Apple,428,8
Apple,429,12
Apple,430,10
Apple,431,7
Apple,432,8
Apple,433,12
Apple,434,12
Apple,435,8
Apple,436,9
Apple,437,8
Apple,438,11
Apple,439,10
Apple,440,9
Apple,441,8
Apple,442,9
Apple,443,11
Apple,444,10
Apple,445,12
Apple,446,14
Apple,447,7
Apple,448,10
Apple,449,14
Apple,450,8
Apple,451,10
Apple,452,9
Apple,453,9
Apple,454,8
Apple,455,11
Apple,456,15
Apple,457,15
Apple,458,7
Apple,459,14
Apple,460,8
Apple,461,8
Apple,462,12
Apple,463,10
Apple,464,10
Apple,465,13
Apple,466,9
Apple,467,9
Apple,468,12
Apple,469,9
Apple,470,8
Apple,471,9
Apple,472,11
Apple,473,10
Apple,474,10
Apple,475,8
Apple,476,9
Apple,477,11
Apple,478,10
Apple,479,8
Apple,480,10
Apple,481,10
Apple,482,7
Apple,483,16
Apple,484,13
Apple,485,9
Apple,486,9
Apple,487,10
Apple,488,9
Apple,489,8
Apple,490,14
Apple,491,11
Apple,492,11
Apple,493,13
Apple,494,12
Apple,495,12
Apple,496,12
Apple,497,11
Apple,498,7
Apple,499,9
Apple,500,10
Apple,501,7
Apple,502,13
Apple,503,17
Apple,504,11
Apple,505,9
Apple,506,12
Apple,507,11
Apple,508,10
Apple,509,13
Apple,510,10
Apple,511,10
Apple,512,11
Apple,513,12
Apple,514,12
Apple,515,8
Apple,516,10
Apple,517,11
Apple,518,14
Apple,519,9
Apple,520,9
Apple,521,10
Apple,522,9
Apple,523,10
Apple,524,10
Apple,525,11
Apple,526,13
Apple,527,10
Apple,528,11
Apple,529,11
Apple,530,10
Apple,531,9
Apple,532,14
Apple,533,8
Apple,534,13
Apple,535,10
Apple,536,10
Apple,537,18
Apple,538,7
Apple,539,8
Apple,540,8
Apple,541,7
Apple,542,10
Apple,543,10
Apple,544,7
Apple,545,11
Apple,546,10
Apple,547,9
Apple,548,9
Apple,549,11
Apple,550,11
Apple,551,11
Apple,552,8
Apple,553,8
Apple,554,11
Apple,555,15
Apple,556,10
Apple,557,11
Apple,558,13
Apple,559,10
Apple,560,8
Apple,561,9
Apple,562,12
Apple,563,10
Apple,564,8
Apple,565,11
Apple,566,10
Apple,567,13
Apple,568,10
Apple,569,8
Apple,570,20
Apple,571,10
Apple,572,9
Apple,573,8
Apple,574,8
Apple,575,12
Apple,576,14
Apple,577,10
Apple,578,12
Apple,579,12
Apple,580,9
Apple,581,10
Apple,582,7
Apple,583,14
Apple,584,11
Apple,585,15
Apple,586,14
Apple,587,17
Apple,588,8
Apple,589,14
Apple,590,14
Apple,591,11
Apple,592,10
Apple,593,9
Apple,594,8
Apple,595,7
Apple,596,14
Apple,597,12
Apple,598,11
Apple,599,12
Apple,600,9
Apple,601,11
Apple,602,9
Apple,603,13
Apple,604,8
Apple,605,15
Apple,606,11
Apple,607,9
Apple,608,11
Apple,609,9
Apple,610,10
Apple,611,11
Apple,612,11
Apple,613,7
Apple,614,12
Apple,615,9
Apple,616,9
Apple,617,8
Apple,618,9
Apple,619,8
Apple,620,10
Apple,621,10
Apple,622,10
Apple,623,9
Apple,624,10
Apple,625,9
Apple,626,9
Apple,627,10
Apple,628,12
Apple,629,9
Apple,630,9
Apple,631,10
Apple,632,11
Apple,633,10
Apple,634,11
Apple,635,11
Apple,636,8
Apple,637,9
Apple,638,9
Apple,639,9
Apple,640,7
Apple,641,10
Apple,642,15
Apple,643,12
Apple,644,10
Apple,645,9
Apple,646,18
Apple,647,8
Apple,648,11
Apple,649,11
Apple,650,7
Apple,651,11
Apple,652,8
Apple,653,11
Apple,654,12
Apple,655,8
Apple,656,8
Apple,657,11
Apple,658,11
Apple,659,11
Apple,660,9
Apple,661,9
Apple,662,7
Apple,663,13
Apple,664,8
Apple,665,7
Apple,666,10
Apple,667,11
Apple,668,8
Apple,669,10
Apple,670,13
Apple,671,11
Apple,672,12
Apple,673,9
Apple,674,13
Apple,675,12
Apple,676,9
Apple,677,10
Apple,678,16
Apple,679,10
Apple,680,11
Apple,681,15
Apple,682,11
Apple,683,9
Apple,684,9
Apple,685,9
Apple,686,9
Apple,687,8
Apple,688,9
Apple,689,7
Apple,690,8
Apple,691,12
Apple,692,14
Apple,693,8
Apple,694,11
Apple,695,13
Apple,696,15
Apple,697,8
Apple,698,8
Apple,699,9
Apple,700,9
Apple,701,13
Apple,702,9
Apple,703,8
Apple,704,8
Apple,705,14
Apple,706,13
Apple,707,10
Apple,708,9
Apple,709,14
Apple,710,13
Apple,711,18
Apple,712,10
Apple,713,15
Apple,714,9
Apple,715,7
Apple,716,11
Apple,717,10
Apple,718,11
Apple,719,9
Apple,720,14
Apple,721,11
Apple,722,10
Apple,723,11
Apple,724,10
Apple,725,11
Apple,726,7
Apple,727,10
Apple,728,14
Apple,729,15
Apple,730,9
Apple,731,7
Apple,732,8
Apple,733,8
Apple,734,12
Apple,735,9
Apple,736,10
Apple,737,11
Apple,738,13
Apple,739,12
Apple,740,11
Apple,741,9
Apple,742,12
Apple,743,9
Apple,744,10
Apple,745,9
Apple,746,11
Apple,747,9
Apple,748,11
Apple,749,10
Apple,750,8
Apple,751,8
Apple,752,13
Apple,753,14
Apple,754,12
Apple,755,8
Apple,756,11
Apple,757,10
Apple,758,8
Apple,759,8
Apple,760,9
Apple,761,11
Apple,762,14
Apple,763,9
Apple,764,10
Apple,765,9
Apple,766,8
Apple,767,7
Apple,768,8
Apple,769,13
